"SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Paer-PA01-cells-RWV-H-Rep1","Paer-PA01-cells-RWV-H-Rep2","Paer-PA01-cells-RWV-H-Rep3","Paer-PA01-cells-RWV-V-Rep1","Paer-PA01-cells-RWV-V-Rep2","Paer-PA01-cells-RPoM-Rep1","Paer-PA01-cells-RPoM-Rep2","Paer-PA01-cells-RPoM-Rep3","All.mean","All.stdev","F.p.value","Group.Mean_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)","Group.Mean_(Rotating Wall Vessel bioreactor (RWV) in vertical position)","Group.Mean_(Random Positioning Machine (RPM))","Group.Stdev_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)","Group.Stdev_(Rotating Wall Vessel bioreactor (RWV) in vertical position)","Group.Stdev_(Random Positioning Machine (RPM))","Log2fc_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)","Log2fc_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in vertical position)","Log2fc_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Rotating Wall Vessel bioreactor (RWV) in vertical position)","Log2fc_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Random Positioning Machine (RPM))","Log2fc_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Random Positioning Machine (RPM))","Log2fc_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)","P.value_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)","P.value_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in vertical position)","P.value_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Rotating Wall Vessel bioreactor (RWV) in vertical position)","P.value_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Random Positioning Machine (RPM))","P.value_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Random Positioning Machine (RPM))","P.value_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)","Adj.p.value_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)","Adj.p.value_(Random Positioning Machine (RPM))v(Rotating Wall Vessel bioreactor (RWV) in vertical position)","Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Rotating Wall Vessel bioreactor (RWV) in vertical position)","Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in horizontal position)v(Random Positioning Machine (RPM))","Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Random Positioning Machine (RPM))","Adj.p.value_(Rotating Wall Vessel bioreactor (RWV) in vertical position)v(Rotating Wall Vessel bioreactor (RWV) in horizontal position)"
NA,NA,NA,NA,NA,"",7.8099070865533,7.74184732486018,7.77784431937759,8.06508899060717,8.057264728789,7.80469574451372,7.83361226226066,7.59793369821798,7.83602426939745,0.00670327058639033,0.00833773320305268,7.74541390166412,7.77653291026369,8.06117685969808,4.47181680111085,4.48978336910272,5.70011282183659,-0.0311190085995676,-0.315762958033964,-0.284643949434396,0.0311190085995676,0.315762958033964,0.284643949434396,0.655621588587767,0.00386124365846248,0.00656766494804014,0.655621588587767,0.00386124365846248,0.00656766494804014,0.821759602856934,0.0586779134906818,0.050198309637293,0.821759602856934,0.0586779134906818,0.050198309637293
NA,NA,NA,NA,NA,"",8.50801064564985,8.3391350741643,8.32695614457507,8.91769476758145,8.8903183715639,8.4671494300416,8.42839345513317,8.24782392271359,8.51568522642787,0.0085307082243735,0.000757668274596252,8.38112226929612,8.39136728812974,8.90400656957267,4.83884319828928,4.84475816267072,6.2960834250744,-0.0102450188336203,-0.522884300276553,-0.512639281442933,0.0102450188336203,0.522884300276553,0.512639281442933,0.895740537024385,0.000434187323954574,0.000489430968430597,0.895740537024385,0.000434187323954574,0.000489430968430597,0.950781498433165,0.0170872727703825,0.0114111447219386,0.950781498433165,0.0170872727703825,0.0114111447219386
NA,NA,NA,NA,NA,"",7.99719385752321,7.95711011801371,7.91695887726175,8.0387400179622,7.91723205028197,7.98831798320766,7.87488764006866,7.41683913031446,7.8884099593292,0.0291832390921104,0.315572939783686,7.7600149178636,7.95708761759956,7.97798603412208,4.48024670174406,4.59402667798654,5.6412880249393,-0.197072699735962,-0.217971116258487,-0.0208984165225248,0.197072699735962,0.217971116258487,0.0208984165225248,0.200332158510618,0.204650751737457,0.897144432346578,0.200332158510618,0.204650751737457,0.897144432346578,0.510396302835363,0.467272998157739,0.936231404703122,0.510396302835363,0.467272998157739,0.936231404703122
NA,NA,NA,NA,NA,"",7.5650699897606,7.46567041576035,7.47686941361909,7.79445024529663,7.82004057156527,7.43995250362586,7.52781152970152,7.47237568821436,7.57028004469296,0.00312607215159908,0.000711012551944118,7.48004657384725,7.50253660638001,7.80724540843095,4.31860690296165,4.33159152929852,5.52055617068906,-0.0224900325327662,-0.327198834583704,-0.304708802050937,0.0224900325327662,0.327198834583704,0.304708802050937,0.637250321178482,0.000354731266262298,0.000546330985634672,0.637250321178482,0.000354731266262298,0.000546330985634672,0.812205551401898,0.0152569939998647,0.0119353962176645,0.812205551401898,0.0152569939998647,0.0119353962176645
NA,NA,NA,NA,NA,"",7.66012864914771,7.63187639252712,7.6159375450167,7.61608817381842,7.56987254263416,7.6288957678726,7.67075483770991,7.58110076244221,7.6218318338961,0.00254251310165283,0.648555269093839,7.62691712267491,7.63598086223051,7.59298035822629,4.40340265386332,4.40863560633562,5.36904790071807,-0.00906373955560369,0.033936764448617,0.0430005040042207,0.00906373955560369,-0.033936764448617,-0.0430005040042207,0.831999754464823,0.48479136780656,0.381127750670632,0.831999754464823,0.48479136780656,0.381127750670632,0.916132844611221,0.683288620766727,0.573293003109606,0.916132844611221,0.683288620766727,0.573293003109606
"PA0006","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","NP_064726.1","879245","208964.PA0006","GO:0003824, GO:0006520, GO:0008152, GO:0008652, GO:0044238, GO:0006082, GO:0006807, GO:0009058, GO:0009987, GO:0016053, GO:0019752, GO:0043436, GO:0044237, GO:0044249, GO:0044281, GO:0044283, GO:0046394, GO:0071704, GO:1901564, GO:1901566, GO:1901576",7.30114154815812,7.28560475119647,7.26700123726605,7.21064460414203,7.15433933252391,7.26442489544983,7.24944405915467,7.27964384392138,7.25153053397656,0.00204988203792418,0.100140715322018,7.26450426617529,7.28458251220688,7.18249196833297,4.19416349360549,4.20575567435668,5.07878877662615,-0.0200782460315887,0.0820122978423257,0.102090543873914,0.0200782460315887,-0.0820122978423257,-0.102090543873914,0.603797039576558,0.087383329311901,0.042630767620472,0.603797039576558,0.087383329311901,0.042630767620472,0.788531365641403,0.317472751105289,0.152960788069658,0.788531365641403,0.317472751105289,0.152960788069658
"PA0007","hypothetical protein","NP_064727.1","877575","208964.PA0007","GO:0003824, GO:0008152, GO:0009636, GO:0009987, GO:0016491, GO:0042221, GO:0050896, GO:0051716, GO:0055114, GO:0070887",8.27516236534676,8.28553099537587,8.30390142370866,8.19731040010814,8.0714724909165,8.28799727588433,8.30497752958148,8.6703862343815,8.29959233941291,0.0161176624127274,0.109400077680088,8.42112034661577,8.2881982614771,8.13439144551232,4.86193609899685,4.78519349736079,5.7518833519476,0.132922085138674,0.286728901103452,0.153806815964778,-0.132922085138674,-0.286728901103452,-0.153806815964778,0.240333253222967,0.0423821540074269,0.225876440424063,0.240333253222967,0.0423821540074269,0.225876440424063,0.546423276079144,0.22090665671052,0.418988573042686,0.546423276079144,0.22090665671052,0.418988573042686
NA,NA,NA,NA,NA,"",8.12892317390637,8.07770762915915,8.1262428756986,8.1544254340691,8.16428849908089,8.04773218750869,8.17715003436276,8.20063097511956,8.13463760111314,0.00384556672161102,0.685970795373462,8.14183773233034,8.11095789292138,8.15935696657499,4.70069220645917,4.68286372286388,5.76953664118688,0.0308798394089642,-0.017519234244654,-0.0483990736536182,-0.0308798394089642,0.017519234244654,0.0483990736536182,0.561101754080542,0.765917194423436,0.420705500822551,0.561101754080542,0.765917194423436,0.420705500822551,0.759599775853307,0.869168985054928,0.60777699051181,0.759599775853307,0.869168985054928,0.60777699051181
NA,NA,NA,NA,NA,"",7.49010241292482,7.50607205264981,7.50246310082275,7.42013929173093,7.49151866530564,7.47212255944812,7.48381213150371,7.44637195919037,7.47657527169702,0.00216293972126078,0.563551171988107,7.4674355500474,7.4995458554658,7.45582897851828,4.31132592497605,4.32986481845312,5.27206723007745,-0.0321103054183967,0.011606571529116,0.0437168769475127,0.0321103054183967,-0.011606571529116,-0.0437168769475127,0.425570382893639,0.792403247405984,0.337208347945408,0.425570382893639,0.792403247405984,0.337208347945408,0.673649636133173,0.886896642665676,0.534548863160119,0.673649636133173,0.886896642665676,0.534548863160119
NA,NA,NA,NA,NA,"",7.15913635426909,7.18678709646409,7.15441860866076,7.1512676539423,7.13065362534408,7.14942048607915,7.16394191827728,7.14867328663552,7.15553737870903,0.00181508651677607,0.805211486332329,7.15401189699732,7.16678068646465,7.14096063964319,4.13037069451719,4.13774275855337,5.04942169247792,-0.0127687894673292,0.0130512573541282,0.0258200468214573,0.0127687894673292,-0.0130512573541282,-0.0258200468214573,0.724351234997393,0.746965257720319,0.527889237107523,0.724351234997393,0.746965257720319,0.527889237107523,0.860827600032551,0.85798182883255,0.695950909173116,0.860827600032551,0.85798182883255,0.695950909173116
